Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
7.45,0,0.022,0
7.46,-0.001,0.025,0
7.47,0,0.02,0
7.48,-0.001,0.022,0
7.49,0.001,0.02,0
7.5,-0.001,0.022,0
7.51,-0.001,0.018,0
7.52,0.581,0.06,3
7.53,0.508,0.79,3
7.54,0.468,1.232,3
7.55,0.426,1.61,3
7.56,0.41,1.82,3
7.57,0.389,2.007,3
7.58,0.361,2.19,3
7.59,0.375,2.358,3
7.6,0.329,2.482,3
7.61,0.331,2.63,3
7.62,0.327,2.695,3
7.63,0.322,2.805,3
7.64,0.296,2.928,3
7.65,0.276,3.007,3
7.66,0.262,3.105,3
7.67,0.28,3.185,3
7.68,0.262,3.223,3
7.69,0.259,3.247,3
7.7,0.257,3.315,3
7.71,0.229,3.43,3
7.72,0.246,3.48,3
7.73,0.236,3.46,3
7.74,0.231,3.503,3
7.75,0.268,3.59,3
7.76,0.219,3.625,3
7.77,0.228,3.655,3
7.78,0.244,3.683,3
7.79,0.207,3.722,3
7.8,0.213,3.713,3
7.81,0.252,3.815,3
7.82,0.206,3.75,3
7.83,0.194,3.807,3
7.84,0.216,3.895,3
7.85,0.2,3.855,3
7.86,0.166,3.9,3
7.87,0.198,3.86,3
7.88,0.176,3.93,3
7.89,0.185,3.918,3
7.9,0.184,3.92,3
7.91,0.195,4.003,3
7.92,0.191,3.97,3
7.93,0.227,4.025,3
7.94,0.203,3.97,3
7.95,0.236,4.008,3
7.96,0.185,3.98,3
7.97,0.163,4.06,3
7.98,0.191,4.012,3
7.99,0.169,4.03,3
8,0.175,4.047,3
8.01,0.176,4.065,3
8.02,0.197,4.057,3
8.03,0.167,4.068,3
8.04,0.172,4.095,3
8.05,0.172,4.055,3
8.06,0.233,4.13,3
8.07,0.173,4.053,3
8.08,0.163,4.137,3
8.09,0.183,4.06,3
8.1,0.21,4.15,3
8.11,0.188,4.075,3
8.12,0.156,4.133,3
8.13,0.184,4.065,3
8.14,0.205,4.13,3
8.15,0.184,4.082,3
8.16,0.15,4.128,3
