Tiempo ,CONTROL,VELOCIDA,REFERENC
3.275,2.866,4.025,4
3.28,2.905,3.985,4
3.285,2.881,4.01,4
3.29,2.848,4.043,4
3.295,2.887,4,4
3.3,2.927,3.96,4
3.305,2.87,4.02,4
3.31,2.886,4.003,4
3.315,2.933,3.955,4
3.32,2.929,3.963,4
3.325,2.846,4.047,4
3.33,2.848,4.043,4
3.335,2.895,3.993,4
3.34,2.883,4.005,4
3.345,2.863,4.025,4
3.35,2.894,3.993,4
3.355,2.939,3.947,4
3.36,2.888,4.003,4
3.365,2.89,4,4
3.37,2.912,3.977,4
3.375,2.909,3.983,4
3.38,2.835,4.057,4
3.385,2.847,4.043,4
3.39,2.889,3.997,4
3.395,2.907,3.98,4
3.4,2.88,4.008,4
3.405,2.9,3.988,4
3.41,2.943,3.945,4
3.415,2.901,3.99,4
3.42,2.87,4.023,4
3.425,2.898,3.993,4
3.43,2.901,3.99,4
3.435,2.834,4.057,4
3.44,2.846,4.043,4
3.445,2.908,3.977,4
3.45,2.922,3.965,4
3.455,2.879,4.01,4
3.46,2.891,3.997,4
3.465,2.926,3.963,4
3.47,2.893,3.997,4
3.475,2.864,4.027,4
3.48,2.887,4.003,4
3.485,2.902,3.988,4
3.49,2.838,4.053,4
3.495,2.862,4.025,4
3.5,2.923,3.963,4
3.505,2.935,3.952,4
3.51,2.881,4.01,4
3.515,2.885,4.005,4
3.52,2.907,3.983,4
3.525,2.881,4.01,4
3.53,2.848,4.043,4
3.535,2.888,4,4
3.54,2.902,3.985,4
3.545,2.851,4.037,4
3.55,2.876,4.01,4
3.555,2.918,3.967,4
3.56,2.935,3.952,4
3.565,2.88,4.01,4
3.57,2.865,4.025,4
3.575,2.896,3.993,4
3.58,2.876,4.012,4
3.585,2.851,4.037,4
3.59,2.888,3.997,4
3.595,2.908,3.977,4
3.6,2.862,4.025,4
3.605,2.878,4.008,4
3.61,2.92,3.965,4
3.615,2.942,3.945,4
3.62,2.866,4.025,4
3.625,2.857,4.033,4
3.63,2.9,3.988,4
3.635,2.878,4.01,4
3.64,2.847,4.04,4
3.645,2.887,3.997,4
3.65,2.92,3.965,4
3.655,2.867,4.02,4
3.66,2.879,4.008,4
3.665,2.918,3.967,4
3.67,2.927,3.96,4
3.675,2.843,4.047,4
3.68,2.847,4.04,4
3.685,2.885,4,4
3.69,2.875,4.01,4
3.695,2.849,4.035,4
3.7,2.894,3.988,4
3.705,2.93,3.952,4
3.71,2.878,4.008,4
3.715,2.875,4.01,4
3.72,2.914,3.97,4
3.725,2.911,3.975,4
3.73,2.83,4.057,4
3.735,2.842,4.043,4
3.74,2.884,3.997,4
3.745,2.897,3.985,4
3.75,2.865,4.017,4
3.755,2.892,3.99,4
3.76,2.945,3.938,4
3.765,2.884,4.003,4
3.77,2.876,4.01,4
3.775,2.898,3.988,4
3.78,2.916,3.97,4
3.785,2.836,4.053,4
3.79,2.827,4.057,4
3.795,2.896,3.985,4
3.8,2.895,3.988,4
3.805,2.861,4.023,4
3.81,2.904,3.977,4
3.815,2.95,3.932,4
3.82,2.892,3.995,4
3.825,2.885,4.003,4
3.83,2.907,3.98,4
3.835,2.916,3.972,4
3.84,2.833,4.057,4
3.845,2.839,4.047,4
3.85,2.899,3.985,4
3.855,2.895,3.99,4
3.86,2.87,4.015,4
3.865,2.907,3.977,4
3.87,2.941,3.945,4
3.875,2.894,3.995,4
3.88,2.889,4,4
3.885,2.904,3.985,4
3.89,2.905,3.985,4
3.895,2.836,4.055,4
3.9,2.84,4.047,4
3.905,2.89,3.995,4
3.91,2.9,3.985,4
3.915,2.871,4.015,4
3.92,2.903,3.983,4
3.925,2.949,3.938,4
3.93,2.905,3.985,4
3.935,2.869,4.023,4
3.94,2.892,3.997,4
3.945,2.897,3.993,4
3.95,2.83,4.06,4
3.955,2.839,4.047,4
3.96,2.901,3.983,4
3.965,2.915,3.97,4
3.97,2.874,4.012,4
3.975,2.883,4.003,4
3.98,2.931,3.955,4
3.985,2.873,4.015,4
3.99,2.845,4.043,4
3.995,2.877,4.008,4
4,2.897,3.988,4
4.005,2.843,4.043,4
4.01,2.868,4.015,4
4.015,2.924,3.957,4
4.02,2.927,3.957,4
4.025,2.867,4.02,4
4.03,2.876,4.01,4
4.035,2.9,3.985,4
4.04,2.871,4.015,4
4.045,2.845,4.04,4
4.05,2.888,3.995,4
4.055,2.908,3.975,4
4.06,2.862,4.023,4
4.065,2.888,3.995,4
4.07,2.926,3.957,4
4.075,2.941,3.945,4
4.08,2.872,4.017,4
4.085,2.866,4.023,4
4.09,2.907,3.98,4
4.095,2.886,4.003,4
4.1,2.853,4.035,4
4.105,2.893,3.993,4
4.11,2.921,3.965,4
4.115,2.873,4.015,4
4.12,2.892,3.995,4
4.125,2.93,3.957,4
4.13,2.945,3.945,4
4.135,2.869,4.025,4
4.14,2.86,4.033,4
4.145,2.905,3.985,4
4.15,2.881,4.01,4
4.155,2.858,4.033,4
4.16,2.901,3.988,4
4.165,2.934,3.955,4
4.17,2.877,4.015,4
4.175,2.889,4.003,4
4.18,2.921,3.97,4
4.185,2.915,3.977,4
4.19,2.834,4.06,4
4.195,2.843,4.047,4
4.2,2.893,3.995,4
4.205,2.89,3.997,4
4.21,2.871,4.017,4
4.215,2.902,3.985,4
4.22,2.928,3.96,4
4.225,2.89,4,4
4.23,2.873,4.017,4
4.235,2.894,3.995,4
4.24,2.9,3.99,4
4.245,2.835,4.055,4
4.25,2.854,4.033,4
4.255,2.907,3.977,4
4.26,2.924,3.963,4
4.265,2.881,4.008,4
4.27,2.883,4.005,4
4.275,2.918,3.97,4
4.28,2.882,4.008,4
4.285,2.847,4.043,4
4.29,2.882,4.005,4
4.295,2.914,3.972,4
4.3,2.851,4.037,4
4.305,2.873,4.012,4
4.31,2.93,3.955,4
4.315,2.943,3.945,4
4.32,2.866,4.025,4
4.325,2.86,4.03,4
4.33,2.893,3.995,4
4.335,2.87,4.017,4
4.34,2.847,4.04,4
4.345,2.902,3.983,4
4.35,2.93,3.955,4
4.355,2.881,4.008,4
4.36,2.888,4,4
4.365,2.908,3.98,4
4.37,2.911,3.977,4
4.375,2.831,4.06,4
4.38,2.844,4.043,4
4.385,2.889,3.995,4
4.39,2.907,3.977,4
4.395,2.878,4.008,4
4.4,2.908,3.977,4
4.405,2.947,3.94,4
4.41,2.9,3.99,4
4.415,2.864,4.027,4
4.42,2.887,4.003,4
4.425,2.909,3.98,4
4.43,2.843,4.047,4
4.435,2.858,4.03,4
4.44,2.921,3.965,4
4.445,2.938,3.95,4
4.45,2.876,4.015,4
4.455,2.887,4.003,4
4.46,2.922,3.967,4
4.465,2.894,3.997,4
4.47,2.859,4.033,4
4.475,2.895,3.995,4
4.48,2.938,3.952,4
4.485,2.866,4.027,4
4.49,2.894,3.997,4
4.495,2.946,3.945,4
4.5,2.945,3.95,4
4.505,2.868,4.03,4
4.51,2.879,4.017,4
4.515,2.902,3.993,4
4.52,2.895,4,4
4.525,2.878,4.017,4
4.53,2.912,3.983,4
4.535,2.95,3.945,4
4.54,2.904,3.995,4
4.545,2.899,4,4
4.55,2.919,3.98,4
4.555,2.928,3.972,4
4.56,2.864,4.037,4
4.565,2.86,4.04,4
4.57,2.917,3.98,4
4.575,2.926,3.972,4
4.58,2.885,4.015,4
4.585,2.897,4.003,4
4.59,2.939,3.96,4
4.595,2.901,4,4
4.6,2.862,4.04,4
4.605,2.902,3.997,4
4.61,2.924,3.975,4
4.615,2.871,4.03,4
4.62,2.891,4.008,4
4.625,2.943,3.955,4
4.63,2.956,3.945,4
4.635,2.87,4.035,4
4.64,2.862,4.04,4
4.645,2.902,3.997,4
4.65,2.89,4.01,4
4.655,2.872,4.027,4
4.66,2.918,3.98,4
4.665,2.956,3.943,4
4.67,2.91,3.993,4
4.675,2.898,4.005,4
4.68,2.913,3.99,4
4.685,2.908,3.995,4
4.69,2.851,4.053,4
4.695,2.873,4.027,4
4.7,2.926,3.972,4
4.705,2.955,3.945,4
4.71,2.901,4.003,4
4.715,2.896,4.008,4
4.72,2.943,3.96,4
4.725,2.901,4.005,4
4.73,2.865,4.04,4
4.735,2.908,3.995,4
4.74,2.928,3.975,4
4.745,2.892,4.012,4
4.75,2.896,4.008,4
4.755,2.938,3.965,4
4.76,2.925,3.98,4
4.765,2.854,4.053,4
4.77,2.864,4.04,4
4.775,2.919,3.983,4
4.78,2.93,3.972,4
4.785,2.896,4.008,4
4.79,2.918,3.985,4
4.795,2.944,3.96,4
4.8,2.897,4.01,4
4.805,2.866,4.04,4
4.81,2.904,4,4
4.815,2.916,3.988,4
4.82,2.872,4.033,4
4.825,2.893,4.01,4
4.83,2.934,3.967,4
4.835,2.936,3.967,4
4.84,2.856,4.05,4
4.845,2.85,4.053,4
4.85,2.887,4.012,4
4.855,2.904,3.995,4
