Tiempo ;Entrada;Angulo;Posicion
12.76;0;0.464;0.267
12.78;0;0.428;0.267
12.8;0;0.382;0.267
12.82;0;0.333;0.267
12.84;0;0.279;0.267
12.86;0;0.222;0.267
12.88;0;0.161;0.267
12.9;0;0.098;0.267
12.92;0;0.033;0.267
12.94;0;-0.033;0.267
12.96;0;-0.096;0.267
12.98;0;-0.159;0.267
13;0;-0.22;0.267
13.02;0;-0.278;0.267
13.04;0;-0.33;0.267
13.06;0;-0.379;0.267
13.08;0;-0.424;0.267
13.1;0;-0.461;0.267
13.12;0;-0.492;0.267
13.14;0;-0.517;0.267
13.16;0;-0.534;0.267
13.18;0;-0.543;0.267
13.2;0;-0.545;0.267
13.22;0;-0.541;0.267
13.24;0;-0.527;0.267
13.26;0;-0.508;0.267
13.28;0;-0.48;0.267
13.3;0;-0.445;0.267
13.32;0;-0.403;0.267
13.34;0;-0.358;0.267
13.36;0;-0.307;0.267
13.38;0;-0.251;0.267
13.4;0;-0.19;0.267
13.42;0;-0.129;0.267
13.44;0;-0.066;0.267
13.46;0;-0.002;0.267
13.48;0;0.063;0.267
13.5;0;0.126;0.267
13.52;0;0.187;0.267
13.54;0;0.246;0.267
13.56;0;0.3;0.267
13.58;0;0.351;0.267
13.6;0;0.398;0.267
13.62;0;0.438;0.267
13.64;0;0.473;0.267
13.66;0;0.499;0.267
13.68;0;0.52;0.267
13.7;0;0.534;0.267
13.72;0;0.539;0.267
13.74;0;0.539;0.267
13.76;0;0.529;0.267
13.78;0;0.511;0.267
13.8;0;0.487;0.267
13.82;0;0.456;0.267
13.84;0;0.419;0.267
13.86;0;0.375;0.267
13.88;0;0.326;0.267
13.9;0;0.272;0.267
13.92;0;0.215;0.267
13.94;0;0.155;0.267
13.96;0;0.093;0.267
13.98;0;0.028;0.267
14;0;-0.037;0.267
14.02;0;-0.099;0.267
14.04;0;-0.161;0.267
14.06;0;-0.22;0.267
14.08;0;-0.278;0.267
14.1;0;-0.33;0.267
14.12;0;-0.377;0.267
14.14;0;-0.421;0.267
14.16;0;-0.457;0.267
14.18;0;-0.487;0.267
14.2;0;-0.511;0.267
14.22;0;-0.527;0.267
14.24;0;-0.538;0.267
14.26;0;-0.539;0.267
14.28;0;-0.534;0.267
14.3;0;-0.52;0.267
14.32;0;-0.499;0.267
14.34;0;-0.471;0.267
14.36;0;-0.436;0.267
14.38;0;-0.396;0.267
14.4;0;-0.349;0.267
14.42;0;-0.298;0.267
14.44;0;-0.243;0.267
14.46;0;-0.185;0.267
14.48;0;-0.124;0.267
14.5;0;-0.061;0.267
14.52;0;0.002;0.267
14.54;0;0.066;0.267
14.56;0;0.127;0.267
14.58;0;0.188;0.267
14.6;0;0.246;0.267
14.62;0;0.3;0.267
14.64;0;0.351;0.267
14.66;0;0.396;0.267
14.68;0;0.435;0.267
14.7;0;0.468;0.267
14.72;0;0.496;0.267
14.74;0;0.515;0.267
14.76;0;0.527;0.267
14.78;0;0.532;0.267
14.8;0;0.531;0.267
14.82;0;0.52;0.267
14.84;0;0.503;0.267
14.86;0;0.48;0.267
14.88;0;0.447;0.267
14.9;0;0.41;0.267
14.92;0;0.367;0.267
14.94;0;0.319;0.267
14.96;0;0.265;0.267
14.98;0;0.208;0.267
15;0;0.148;0.267
15.02;0;0.087;0.267
15.04;0;0.023;0.267
15.06;0;-0.04;0.267
15.08;0;-0.101;0.267
15.1;0;-0.162;0.267
15.12;0;-0.223;0.267
15.14;0;-0.278;0.267
15.16;0;-0.328;0.267
15.18;0;-0.375;0.267
15.2;0;-0.419;0.267
15.22;0;-0.454;0.267
15.24;0;-0.483;0.267
15.26;0;-0.506;0.267
15.28;0;-0.522;0.267
15.3;0;-0.531;0.267
15.32;0;-0.532;0.267
15.34;0;-0.525;0.267
15.36;0;-0.513;0.267
15.38;0;-0.49;0.267
15.4;0;-0.463;0.267
15.42;0;-0.429;0.267
15.44;0;-0.387;0.267
15.46;0;-0.342;0.267
15.48;0;-0.291;0.267
15.5;0;-0.236;0.267
15.52;0;-0.178;0.267
15.54;0;-0.119;0.267
15.56;0;-0.056;0.267
15.58;0;0.007;0.267
15.6;0;0.07;0.267
15.62;0;0.131;0.267
15.64;0;0.19;0.267
15.66;0;0.246;0.267
15.68;0;0.3;0.267
15.7;0;0.351;0.267
15.72;0;0.394;0.267
15.74;0;0.433;0.267
15.76;0;0.464;0.267
15.78;0;0.49;0.267
15.8;0;0.51;0.267
15.82;0;0.52;0.267
15.84;0;0.525;0.267
15.86;0;0.524;0.267
15.88;0;0.513;0.267
15.9;0;0.496;0.267
15.92;0;0.471;0.267
15.94;0;0.44;0.267
15.96;0;0.403;0.267
15.98;0;0.358;0.267
16;0;0.311;0.267
16.02;0;0.258;0.267
16.04;0;0.202;0.267
16.06;0;0.143;0.267
16.08;0;0.08;0.267
16.1;0;0.017;0.267
16.12;0;-0.044;0.267
16.14;0;-0.105;0.267
16.16;0;-0.166;0.267
16.18;0;-0.223;0.267
16.2;0;-0.279;0.267
16.22;0;-0.328;0.267
16.24;0;-0.375;0.267
16.26;0;-0.415;0.267
16.28;0;-0.45;0.267
16.3;0;-0.48;0.267
16.32;0;-0.501;0.267
