Tiempo ,ANGULO,ENTRADA,ESTIMULO,PERTURBA
12.6,0.495,0.8,0.8,0
12.62,0.493,0.8,0.8,0
12.64,0.492,0.8,0.8,0
12.66,0.492,0.8,0.8,0
12.68,0.49,0.8,0.8,0
12.7,0.49,0.8,0.8,0
12.72,0.488,0.8,0.8,0
12.74,0.488,0.8,0.8,0
12.76,0.488,0.8,0.8,0
12.78,0.488,0.8,0.8,0
12.8,0.488,0.8,0.8,0
12.82,0.488,0.8,0.8,0
12.84,0.49,0.8,0.8,0
12.86,0.49,0.8,0.8,0
12.88,0.492,0.8,0.8,0
12.9,0.492,0.8,0.8,0
12.92,0.493,0.8,0.8,0
12.94,0.495,0.8,0.8,0
12.96,0.497,0.8,0.8,0
12.98,0.499,0.8,0.8,0
13,0.5,0.8,0.8,0
13.02,0.502,0.8,0.8,0
13.04,0.504,0.8,0.8,0
13.06,0.506,0.8,0.8,0
13.08,0.507,0.8,0.8,0
13.1,0.511,0.8,0.8,0
13.12,0.513,0.8,0.8,0
13.14,0.514,0.8,0.8,0
13.16,0.516,0.8,0.8,0
13.18,0.518,0.8,0.8,0
13.2,0.52,0.8,0.8,0
13.22,0.521,0.8,0.8,0
13.24,0.521,0.8,0.8,0
13.26,0.523,0.8,0.8,0
13.28,0.525,0.8,0.8,0
13.3,0.525,0.8,0.8,0
13.32,0.527,0.8,0.8,0
13.34,0.528,0.8,0.8,0
13.36,0.528,0.8,0.8,0
13.38,0.53,0.8,0.8,0
13.4,0.53,0.8,0.8,0
13.42,0.53,0.8,0.8,0
13.44,0.532,0.8,0.8,0
13.46,0.532,0.8,0.8,0
13.48,0.532,0.8,0.8,0
13.5,0.532,0.8,0.8,0
13.52,0.532,0.8,0.8,0
13.54,0.532,0.8,0.8,0
13.56,0.532,0.8,0.8,0
13.58,0.532,0.8,0.8,0
13.6,0.532,0.8,0.8,0
13.62,0.532,0.8,0.8,0
13.64,0.532,0.8,0.8,0
13.66,0.53,0.8,0.8,0
13.68,0.53,0.8,0.8,0
13.7,0.53,0.8,0.8,0
13.72,0.528,0.8,0.8,0
13.74,0.528,0.8,0.8,0
13.76,0.527,0.8,0.8,0
13.78,0.525,0.8,0.8,0
13.8,0.525,0.8,0.8,0
13.82,0.523,0.8,0.8,0
13.84,0.521,0.8,0.8,0
13.86,0.52,0.8,0.8,0
13.88,0.52,0.8,0.8,0
13.9,0.518,0.8,0.8,0
13.92,0.516,0.8,0.8,0
13.94,0.514,0.8,0.8,0
13.96,0.513,0.8,0.8,0
13.98,0.513,0.8,0.8,0
14,0.511,0.8,0.8,0
14.02,0.509,0.8,0.8,0
14.04,0.509,0.8,0.8,0
14.06,0.507,0.8,0.8,0
14.08,0.507,0.8,0.8,0
14.1,0.506,0.8,0.8,0
14.12,0.506,0.8,0.8,0
14.14,0.504,0.8,0.8,0
14.16,0.504,0.8,0.8,0
14.18,0.502,0.8,0.8,0
14.2,0.502,0.8,0.8,0
14.22,0.502,0.8,0.8,0
14.24,0.502,0.8,0.8,0
14.26,0.502,0.8,0.8,0
14.28,0.502,0.8,0.8,0
14.3,0.502,0.8,0.8,0
14.32,0.502,0.8,0.8,0
14.34,0.502,0.8,0.8,0
14.36,0.502,0.8,0.8,0
14.38,0.504,0.8,0.8,0
